,target
0,-10.0
1,-10.0
2,-10.0
3,-10.0
4,-10.0
5,-10.0
6,39.24647266313932
7,73.14912280701752
8,76.33458646616543
9,47.99185463659148
10,68.79887218045114
11,-10.0
12,62.97305764411027
13,75.62593984962409
14,-10.0
15,73.69235588972433
16,47.441961384943845
17,76.1610275689223
18,64.85902255639098
19,-10.0
20,53.69298245614035
21,-10.0
22,-10.0
23,69.93919985148055
24,-10.0
25,75.64912280701752
26,66.71990160586651
27,-10.0
28,82.17293233082707
29,-10.0
30,74.41165413533834
31,-10.0
32,40.5242504409171
33,62.40977443609021
34,-10.0
35,64.34335839598997
36,-10.0
37,55.70676691729324
38,72.98872180451126
39,-10.0
40,55.74624060150376
41,-10.0
42,64.75062656641605
43,-10.0
44,58.12155388471177
45,55.385616819827355
46,71.5325814536341
47,46.58145363408522
48,-10.0
49,54.754385964912295
50,72.15664160401003
51,75.44235588972433
52,67.8107769423559
53,68.22055137844613
54,73.29887218045114
55,61.45989974937344
56,-10.0
57,-10.0
58,-10.0
59,46.43984962406015
60,80.98433583959901
61,59.80576441102756
62,-10.0
63,-10.0
64,62.75125313283209
65,67.70300751879701
66,-10.0
67,-10.0
68,45.4874686716792
69,57.190476190476204
70,67.76942355889724
71,-10.0
72,65.75187969924812
73,73.2449874686717
74,61.34962406015037
75,70.12531328320803
76,61.70551378446114
77,-10.0
78,44.27944862155388
79,65.02067669172932
80,52.53508771929825
81,75.02752250997865
82,68.64598997493734
83,64.96115288220551
84,67.71177944862156
85,74.48370927318292
86,57.94098672607444
87,63.68483709273184
88,68.16353383458646
89,54.07456140350877
90,-10.0
91,49.29072681704261
92,57.556390977443606
93,56.63596491228071
94,-10.0
95,-10.0
96,61.2593984962406
97,56.110275689223045
98,51.84962406015038
99,-10.0
100,-10.0
101,61.34649122807017
102,49.55889724310777
103,-10.0
104,56.9718045112782
105,67.3546365914787
106,67.08646616541354
107,-10.0
108,-10.0
109,69.65664160401003
110,-10.0
111,54.847605123920914
112,-10.0
113,-10.0
114,59.247493734335826
115,53.62969924812031
116,-10.0
117,59.24624060150376
118,54.654761904761905
119,-10.0
120,47.6578947368421
121,78.68609022556389
122,-10.0
123,57.97368421052631
124,61.1077694235589
125,67.5137844611529
126,63.993107769423546
127,40.738095238095234
128,67.12593984962406
129,54.9178965933352
130,68.63909774436091
131,80.15346235960268
132,-10.0
133,54.109649122807014
134,75.13220551378448
135,-10.0
136,50.52756892230576
137,68.36027568922306
138,-10.0
139,-10.0
140,73.31641604010024
141,70.22305764411028
142,65.83521303258145
143,55.08583959899749
144,-10.0
145,52.67042606516291
146,47.33771929824562
147,64.06265664160401
148,74.73872180451126
149,56.06892230576441
150,70.46679197994989
151,-10.0
152,61.57393483709273
153,-10.0
154,73.61403508771932
155,-10.0
156,-10.0
157,-10.0
158,67.3295739348371
159,52.02694235588971
160,-10.0
161,51.016917293233085
162,63.98496240601503
163,56.72869674185463
164,59.20488721804511
165,54.438596491228076
166,-10.0
167,-10.0
168,52.85087719298246
169,69.0137844611529
170,76.6685463659148
171,71.03195488721805
172,46.088345864661655
173,61.80792258423836
174,-10.0
175,-10.0
176,-10.0
177,52.19611528822056
178,-10.0
179,45.547619047619044
180,62.25814536340852
181,-10.0
182,63.51002506265663
183,59.22368421052631
184,62.81892230576441
185,54.570802005012546
186,57.33583959899749
187,-10.0
188,60.90914786967417
189,48.976190476190474
190,71.65726817042606
191,68.93734335839599
192,54.456140350877185
193,-10.0
194,-10.0
195,67.093984962406
196,78.57769423558896
197,63.399122807017555
198,-10.0
199,56.99624060150376
200,-10.0
201,-10.0
202,-10.0
203,59.78320802005012
204,67.55513784461154
205,-10.0
206,-10.0
207,48.99937343358396
208,-10.0
209,56.154761904761905
210,61.1578947368421
211,46.77318295739349
212,58.50501253132833
213,55.94298245614035
214,66.29573934837093
215,66.96240601503759
216,55.31390977443609
217,-10.0
218,-10.0
219,62.109022556390975
220,78.01817042606514
221,73.19172932330825
222,-10.0
223,-10.0
224,-10.0
225,-10.0
226,-10.0
227,-10.0
228,74.89032767102943
229,-10.0
230,64.343984962406
231,57.91604010025065
232,-10.0
233,74.44172932330825
234,-10.0
235,59.892230576441115
236,-10.0
237,68.78759398496241
238,-10.0
239,-10.0
240,55.64724310776942
241,71.86591478696742
242,47.15193075280794
243,-10.0
244,-10.0
245,71.78070175438599
246,49.03508771929825
247,-10.0
248,64.29887218045114
249,-10.0
250,42.738095238095234
251,-10.0
252,74.06766917293234
253,48.3139097744361
254,78.48872180451127
255,-10.0
256,-10.0
257,46.17167919799499
258,61.575814536340836
259,67.68170426065164
260,69.63847117794488
261,52.16541353383459
262,74.36340852130324
263,52.176691729323316
264,65.62907268170426
265,-10.0
266,-10.0
267,-10.0
268,-10.0
269,40.82080200501253
270,-10.0
271,56.004385964912295
272,-10.0
273,59.82393483709273
274,57.02318295739349
275,67.69172932330828
276,70.28195488721805
277,-10.0
278,60.11231783161605
279,-10.0
280,-10.0
281,68.89473684210527
282,66.04887218045114
283,-10.0
284,-10.0
285,64.20864661654137
286,66.25250626566417
287,53.468671679197996
288,57.597744360902254
289,71.71616541353384
290,73.63157894736844
291,56.74874686716792
292,-10.0
293,70.01441102756893
294,-10.0
295,38.833333333333336
296,66.08395989974939
297,58.64097744360901
298,-10.0
299,-10.0
300,42.32142857142856
301,77.875313283208
302,-10.0
303,-10.0
304,59.1829573934837
305,64.72681704260653
306,-10.0
307,67.55576441102757
308,-10.0
309,-10.0
310,48.91471734892789
311,68.40726817042606
312,63.34147869674186
313,-10.0
314,-10.0
315,45.088345864661655
316,61.38157894736843
317,53.043859649122794
318,45.61215538847117
319,64.0607769423559
320,43.77944862155388
321,69.74060150375941
322,-10.0
323,50.450501253132835
324,56.33444722918407
325,-10.0
326,53.15350877192983
327,-10.0
328,52.98586744639377
329,61.51378446115288
330,46.03947368421054
331,48.44611528822055
332,57.29636591478698
333,67.37030075187971
334,-10.0
335,57.189849624060166
336,-10.0
337,73.48370927318292
338,-10.0
339,55.13188062749466
340,64.9906015037594
341,-10.0
342,-10.0
343,71.59022556390978
344,64.2092731829574
345,65.8358395989975
346,50.766917293233085
347,46.021929824561404
348,69.47681704260653
349,62.884711779448615
350,68.7531328320802
351,82.57769423558896
352,53.6109022556391
353,50.64097744360904
354,-10.0
355,-10.0
356,70.86967418546367
357,-10.0
358,59.99624060150376
359,57.37243571892694
360,-10.0
361,55.183212661282845
362,65.67418546365916
363,67.01817042606517
364,-10.0
365,69.51315789473686
366,55.80513784461153
367,56.307017543859644
368,80.4705513784461
369,70.61403508771932
370,57.45426065162906
371,74.97461245706857
