,target
0,-10.0
1,-10.0
2,-10.0
3,-10.0
4,-10.0
5,-10.0
6,63.02694235588972
7,78.75062656641602
8,-10.0
9,67.83521303258145
10,70.86591478696742
11,63.93483709273184
12,57.880325814536356
13,57.080200501253124
14,-10.0
15,51.50877192982455
16,-10.0
17,49.74937343358396
18,62.15977443609021
19,72.09774436090227
20,70.0545112781955
21,-10.0
22,59.91353383458645
23,-10.0
24,50.505639097744364
25,-10.0
26,60.92982456140351
27,61.21052631578948
28,-10.0
29,53.359649122807014
30,64.78070175438597
31,65.234335839599
32,-10.0
33,-10.0
34,64.62781954887218
35,68.69736842105264
36,62.76065162907267
37,51.59210526315788
38,48.05889724310777
39,47.73182957393484
40,59.41604010025065
41,56.10651629072682
42,-10.0
43,52.54511278195488
44,-10.0
45,67.24561403508773
46,62.439849624060166
47,48.397243107769434
48,58.37781954887217
49,59.10338345864661
50,-10.0
51,66.71804511278195
52,63.351503759398504
53,63.81077694235589
54,-10.0
55,-10.0
56,61.41541353383457
57,49.425438596491226
58,71.73934837092733
59,64.91290726817043
60,56.89473684210526
61,68.32832080200502
62,68.47681704260653
63,-10.0
64,-10.0
65,52.41541353383459
66,44.02378631764597
67,50.73621553884712
68,76.33458646616543
69,60.281328320802004
70,-10.0
71,58.199248120300744
72,79.05451127819548
73,-10.0
74,-10.0
75,-10.0
76,61.87185556483803
77,66.69172932330828
78,-10.0
79,72.31766917293234
80,55.56390977443609
81,-10.0
82,55.95551378446115
83,49.89097744360904
84,63.09210526315789
85,-10.0
86,45.9047619047619
87,69.80388471177946
88,53.55263157894738
89,52.28499489464402
90,84.85213032581451
91,63.62593984962407
92,65.91631857421332
93,-10.0
94,-10.0
95,-10.0
96,48.76754385964912
97,-10.0
98,-10.0
99,-10.0
100,50.29072681704261
101,-10.0
102,62.45050125313282
103,61.794486215538846
104,63.299498746867165
105,64.04511278195488
106,70.43170426065164
107,65.19360902255639
108,69.1516290726817
109,-10.0
110,48.70676691729324
111,52.177318295739354
112,46.647243107769434
113,-10.0
114,63.03258145363407
115,51.761904761904766
116,65.31265664160401
117,58.729323308270665
118,80.78634085213031
119,53.344611528822064
120,-10.0
121,-10.0
122,-10.0
123,59.674812030075195
124,-10.0
125,56.60338345864661
126,77.22744360902254
127,-10.0
128,49.5
129,-10.0
130,56.98809523809524
131,-10.0
132,55.88596491228071
133,68.91353383458646
134,72.89158080386152
135,72.6685463659148
136,-10.0
137,49.534461152882216
138,63.936716791979954
139,63.298245614035096
140,76.10275689223056
141,-10.0
142,-10.0
143,48.70238095238094
144,45.838345864661655
145,-10.0
146,60.86591478696741
147,55.561403508771924
148,71.00626566416042
149,-10.0
150,-10.0
151,46.129699248120296
152,-10.0
153,-10.0
154,49.14223057644111
155,64.19235588972431
156,52.66040100250627
157,-10.0
158,-10.0
159,48.14160401002507
160,60.272556390977456
161,-10.0
162,-10.0
163,58.96428571428572
164,60.11584516847676
165,43.201754385964904
166,-10.0
167,72.35776942355888
168,48.498120300751886
169,-10.0
170,52.95112781954888
171,50.73057644110276
172,51.218045112781965
173,67.08521303258145
174,57.46303258145365
175,69.35709644481575
176,-10.0
177,43.927944862155385
178,-10.0
179,-10.0
180,58.73997493734336
181,75.63784461152883
182,52.61904761904762
183,-10.0
184,65.38157894736842
185,68.03070175438599
186,55.478070175438596
187,71.08082706766918
188,76.27188341223427
189,76.37656641604012
190,63.1895015316068
191,-10.0
192,60.45551378446115
193,-10.0
194,57.40664160401003
195,81.34586466165412
196,75.64348370927317
197,57.02944862155389
198,65.75187969924812
199,-10.0
200,58.46240601503757
201,47.515664160401
202,70.01503759398497
203,65.66729323308272
204,-10.0
205,-10.0
206,76.35150375939848
207,-10.0
208,42.845493363037214
209,62.17731829573933
210,64.79385964912281
211,82.72117794486213
212,73.26942355889723
213,63.54323308270677
214,59.76441102756892
215,71.58458646616543
216,70.5733082706767
217,65.56140350877193
218,74.28070175438599
219,-10.0
220,-10.0
221,68.88847117794488
222,66.11967418546367
223,51.86654135338347
224,-10.0
225,76.50062656641602
226,78.28696741854635
227,83.42919799498746
228,59.49561403508772
229,68.99749373433583
230,64.54573934837093
231,74.76817042606514
232,-10.0
233,44.54010025062657
234,60.96553884711779
235,65.1077694235589
236,64.81328320802005
237,-10.0
238,58.80075187969924
239,61.15664160401003
240,51.07706766917294
241,60.78947368421051
242,73.48997493734338
243,56.546365914786975
244,56.08082706766917
245,-10.0
246,-10.0
247,61.340225563909776
248,-10.0
249,81.19674185463658
250,73.47243107769424
251,66.72681704260653
252,66.38909774436091
253,71.94110275689223
254,-10.0
255,-10.0
256,-10.0
257,58.731203007518815
258,52.18295739348372
259,61.89097744360901
260,-10.0
261,66.09649122807019
262,55.440476190476204
263,77.03634085213031
264,-10.0
265,63.15162907268171
266,-10.0
267,53.92042606516291
268,-10.0
269,73.59085213032583
270,55.0952380952381
271,-10.0
272,59.989348370927324
273,57.29072681704258
274,62.94987468671678
275,-10.0
276,44.81453634085213
277,57.068295739348365
278,59.81704260651629
279,72.50689223057645
280,-10.0
281,-10.0
282,-10.0
283,57.69423558897245
284,68.34711779448622
285,-10.0
286,70.5137844611529
287,56.51503759398495
288,59.59697855750489
289,-10.0
290,45.498120300751886
291,63.385338345864646
292,56.586466165413526
293,58.49561403508772
294,57.33082706766916
295,63.15977443609021
296,64.34022556390978
297,-10.0
298,56.24624060150376
299,65.0751879699248
300,57.76315789473684
301,-10.0
302,51.860275689223045
303,66.11967418546367
304,73.180427921656
305,49.76754385964912
306,-10.0
307,82.078320802005
308,68.65225563909775
309,68.29260651629073
310,-10.0
311,-10.0
312,56.57957393483709
313,-10.0
314,68.59085213032583
315,70.85401002506266
316,75.3257913301773
317,66.53696741854638
318,-10.0
319,59.07704446300937
320,61.55827067669171
321,-10.0
322,-10.0
323,-10.0
324,-10.0
325,50.88471177944862
326,62.05200501253131
327,-10.0
328,-10.0
329,60.70426065162906
330,-10.0
331,46.8139097744361
332,-10.0
333,42.36215538847117
334,-10.0
335,67.13533834586464
336,-10.0
337,64.87907268170426
338,75.84022556390978
339,-10.0
340,63.549498746867165
341,61.1829573934837
342,73.04323308270678
343,-10.0
344,67.94298245614034
345,-10.0
346,66.29323308270678
347,72.70989974937345
348,51.39223057644111
349,63.694235588972425
350,54.18523159751229
351,-10.0
352,64.75062656641605
353,72.92418546365916
354,47.40624709922955
355,-10.0
356,-10.0
357,-10.0
358,68.87030075187971
359,53.043859649122794
360,67.89974937343358
361,53.50375939849624
362,57.95802005012533
363,67.66854636591479
364,47.77255639097745
365,59.86779448621552
366,-10.0
367,67.48245614035089
368,-10.0
