,target
0,-10.0
1,-10.0
2,-10.0
3,-10.0
4,-10.0
5,-10.0
6,-10.0
7,46.67105263157895
8,68.48997493734338
9,63.234335839599
10,-10.0
11,73.99436090225562
12,70.78634085213034
13,-10.0
14,76.49498746867167
15,66.05388471177946
16,56.85338345864661
17,71.6729323308271
18,-10.0
19,-10.0
20,68.45426065162907
21,54.0375939849624
22,55.95426065162906
23,-10.0
24,60.49654228162999
25,77.76879699248119
26,66.34774436090225
27,-10.0
28,61.28884711779447
29,69.19674185463657
30,-10.0
31,-10.0
32,-10.0
33,61.49122807017543
34,64.97744360902256
35,70.98997493734338
36,48.24185463659148
37,-10.0
38,-10.0
39,47.439223057644114
40,55.88471177944863
41,45.73182957393484
42,-10.0
43,46.266290726817054
44,-10.0
45,-10.0
46,-10.0
47,55.72932330827067
48,-10.0
49,49.39223057644111
50,45.46365914786967
51,-10.0
52,-10.0
53,68.61340852130324
54,64.2982456140351
55,69.5607769423559
56,-10.0
57,-10.0
58,-10.0
59,-10.0
60,66.99749373433583
61,64.68483709273184
62,60.199248120300744
63,47.59899749373434
64,71.63220551378448
65,-10.0
66,45.3389724310777
67,-10.0
68,-10.0
69,68.15664160401003
70,-10.0
71,65.15601503759399
72,62.85210711965099
73,44.32017543859649
74,-10.0
75,68.577694235589
76,54.89406386336211
77,66.55639097744361
78,-10.0
79,-10.0
80,63.217418546365906
81,55.96177944862154
82,-10.0
83,-10.0
84,-10.0
85,-10.0
86,67.6046365914787
87,51.90977443609023
88,51.570152232432925
89,56.89536340852129
90,61.78258145363407
91,-10.0
92,73.00626566416042
93,67.46052631578948
94,-10.0
95,71.75062656641605
96,55.59649122807017
97,-10.0
98,-10.0
99,-10.0
100,-10.0
101,67.78195488721805
102,59.66604010025065
103,58.522556390977456
104,-10.0
105,75.97744360902254
106,58.94987468671678
107,59.4987468671679
108,78.66165413533834
109,61.44862155388471
110,66.47932330827068
111,69.01065162907267
112,82.56015037593984
113,74.45864661654134
114,46.77944862155388
115,-10.0
116,72.77443609022555
117,74.0733082706767
118,53.82894736842105
119,55.23496240601503
120,-10.0
121,44.30952380952382
122,78.625313283208
123,-10.0
124,-10.0
125,-10.0
126,50.06829573934837
127,45.796992481203006
128,46.47431077694237
129,55.56516290726818
130,57.14536340852129
131,56.848370927318285
132,-10.0
133,49.508771929824555
134,-10.0
135,68.12155388471179
136,68.96115288220551
137,66.99561403508773
138,60.12406015037592
139,68.03822055137844
140,53.7593984962406
141,52.266290726817054
142,58.54699248120301
143,75.04260651629075
144,-10.0
145,-10.0
146,-10.0
147,-10.0
148,-10.0
149,64.81578947368422
150,61.057017543859644
151,-10.0
152,59.06516290726818
153,42.26127819548872
154,79.86340852130326
155,69.47055137844613
156,53.344611528822064
157,67.14974937343358
158,45.07080200501253
159,53.974566044741486
160,-10.0
161,-10.0
162,47.765664160401
163,-10.0
164,76.11649494105632
165,71.28195488721805
166,-10.0
167,57.85526315789476
168,82.6378446115288
169,49.04010025062657
170,57.939849624060166
171,61.14160401002505
172,62.54573934837092
173,-10.0
174,54.54699248120301
175,60.892230576441115
176,-10.0
177,46.71365914786967
178,66.46052631578948
179,-10.0
180,-10.0
181,66.42731829573934
182,61.89786967418548
183,-10.0
184,71.32268170426066
185,52.19890002784738
186,77.55794579040192
187,53.14536340852129
188,-10.0
189,47.188596491228076
190,57.66604010025065
191,-10.0
192,51.558270676691734
193,65.9862155388471
194,-10.0
195,59.89849624060151
196,46.73120300751879
197,77.10150375939848
198,66.07894736842105
199,57.42982456140351
200,-10.0
201,58.580200501253124
202,53.52756892230576
203,54.18358395989975
204,-10.0
205,72.0325814536341
206,-10.0
207,-10.0
208,57.9987468671679
209,-10.0
210,-10.0
211,62.17731829573933
212,61.484962406015036
213,47.54010025062657
214,69.62719298245615
215,72.25062656641602
216,50.968671679197996
217,-10.0
218,-10.0
219,-10.0
220,56.587719298245624
221,70.59649122807019
222,-10.0
223,77.53070175438599
224,70.52005012531329
225,-10.0
226,50.38533834586466
227,58.76441102756892
228,-10.0
229,74.98245614035086
230,57.79010025062655
231,-10.0
232,75.16729323308269
233,61.46303258145365
234,76.13283208020052
235,-10.0
236,58.82268170426065
237,62.899749373433586
238,50.11364058293882
239,45.6484962406015
240,72.93045112781955
241,72.96616541353384
242,39.31690336953495
243,76.15100250626567
244,71.18170426065164
245,-10.0
246,71.01253132832082
247,68.78759398496241
248,-10.0
249,-10.0
250,69.68107769423558
251,55.00375939849624
252,-10.0
253,-10.0
254,52.63596491228071
255,63.126566416040106
256,73.80012531328322
257,67.57894736842105
258,-10.0
259,79.94674185463658
260,-10.0
261,-10.0
262,63.47869674185464
263,79.69674185463658
264,55.98148148148149
265,45.748120300751886
266,75.43609022556389
267,-10.0
268,68.96491228070177
269,73.14912280701752
270,49.24874686716792
271,70.7575187969925
272,-10.0
273,-10.0
274,71.73370927318292
275,-10.0
276,76.46616541353384
277,82.18609022556389
278,58.91604010025065
279,55.19298245614035
280,59.29135338345866
281,-10.0
282,72.38345864661655
283,-10.0
284,65.29193353754758
285,57.60401002506265
286,72.59772115473871
287,81.67919799498746
288,-10.0
289,-10.0
290,67.31265664160401
291,-10.0
292,66.14598997493734
293,-10.0
294,71.28884711779449
295,-10.0
296,69.84711779448622
297,-10.0
298,70.05388471177946
299,77.03070175438599
300,69.80639097744361
301,-10.0
302,37.100877192982445
303,53.284461152882216
304,-10.0
305,-10.0
306,-10.0
307,55.51127819548873
308,-10.0
309,62.40977443609021
310,76.94235588972433
311,53.94486215538848
312,-10.0
313,78.21553884711781
314,52.66979949874686
315,-10.0
316,58.34899749373432
317,72.80012531328322
318,69.3483709273183
319,44.76093010303537
320,-10.0
321,60.40664160401003
322,-10.0
323,-10.0
324,-10.0
325,-10.0
326,-10.0
327,70.52443609022556
328,-10.0
329,-10.0
330,-10.0
331,-10.0
332,69.95551378446116
333,54.154135338345874
334,43.135964912280706
335,50.87280701754387
336,63.95989974937344
337,68.83611807296018
338,-10.0
339,50.80075187969925
340,-10.0
341,-10.0
342,62.33395989974938
343,59.139724310776934
344,-10.0
345,57.83897243107771
346,59.384711779448615
347,55.74561403508772
348,55.02756892230576
349,-10.0
350,42.19548872180451
351,63.61716791979949
352,-10.0
353,-10.0
354,48.666666666666664
355,-10.0
356,62.73621553884711
357,70.78070175438599
358,-10.0
359,55.05325814536341
360,-10.0
361,51.534461152882216
362,60.699248120300744
363,76.109022556391
364,45.248120300751886
365,56.676065162907264
366,-10.0
367,65.02067669172932
368,-10.0
369,65.68546365914789
370,78.68483709273181
371,77.70927318295742
372,51.426691729323316
373,65.62092731829574
