,target
0,-10.0
1,-10.0
2,-10.0
3,-10.0
4,-10.0
5,-10.0
6,-10.0
7,-10.0
8,-10.0
9,-10.0
10,-10.0
11,68.33709273182957
12,60.53258145363407
13,48.833333333333336
14,68.32832080200502
15,61.926065162907264
16,58.89847303443796
17,-10.0
18,-10.0
19,73.22305764411028
20,-10.0
21,61.07268170426065
22,-10.0
23,45.99937343358396
24,65.16353383458646
25,59.739348370927324
26,-10.0
27,-10.0
28,81.67293233082707
29,-10.0
30,-10.0
31,-10.0
32,-10.0
33,-10.0
34,59.265664160400995
35,46.12280701754387
36,68.57894736842105
37,-10.0
38,71.0419799498747
39,64.06015037593987
40,44.50438596491228
41,62.85902255639098
42,-10.0
43,66.22744360902256
44,64.73370927318297
45,64.63408521303258
46,79.64348370927317
47,60.62343358395989
48,74.40664160401003
49,70.00626566416042
50,70.89661654135338
51,-10.0
52,48.766917293233085
53,54.649099600853994
54,-10.0
55,-10.0
56,54.28320802005013
57,64.55075187969923
58,72.72055137844613
59,61.61654135338345
60,56.79010025062655
61,45.56516290726817
62,60.058897243107786
63,40.59461152882205
64,-10.0
65,-10.0
66,66.75939849624059
67,55.337719298245624
68,-10.0
69,72.07393483709274
70,42.34461152882205
71,64.7362155388471
72,64.4924812030075
73,59.42982456140351
74,-10.0
75,-10.0
76,63.09210526315789
77,-10.0
78,65.21177944862156
79,-10.0
80,53.33270676691729
81,58.76378446115288
82,-10.0
83,67.23496240601503
84,-10.0
85,76.16791979949876
86,71.59579504316348
87,64.27756892230576
88,-10.0
89,-10.0
90,77.01817042606514
91,79.86967418546364
92,71.26441102756893
93,49.99937343358396
94,-10.0
95,51.60087719298246
96,61.68170426065162
97,42.17857142857142
98,60.007518796992485
99,76.19110275689222
100,-10.0
101,76.85839598997491
102,71.45760233918129
103,-10.0
104,-10.0
105,-10.0
106,-10.0
107,-10.0
108,-10.0
109,42.487468671679196
110,-10.0
111,67.08082706766918
112,45.77318295739349
113,51.55263157894738
114,-10.0
115,56.00375939849624
116,-10.0
117,-10.0
118,-10.0
119,58.02067669172931
120,-10.0
121,46.51754385964912
122,-10.0
123,55.896616541353374
124,-10.0
125,-10.0
126,48.88471177944862
127,58.26093010303537
128,61.03320802005012
129,72.59147869674187
130,47.583333333333336
131,-10.0
132,64.8828320802005
133,56.93170426065162
134,-10.0
135,-10.0
136,68.44950338809987
137,65.83020050125313
138,-10.0
139,55.0513784461153
140,68.22243107769424
141,62.06578947368422
142,71.22117794486216
143,-10.0
144,56.07017543859649
145,62.95050125313282
146,-10.0
147,62.993107769423546
148,-10.0
149,76.16729323308269
150,-10.0
151,-10.0
152,71.1641604010025
153,-10.0
154,53.01754385964912
155,47.63659147869674
156,51.17543859649121
157,52.07518796992482
158,75.26942355889723
159,-10.0
160,71.4968671679198
161,-10.0
162,-10.0
163,59.76441102756892
164,46.62280701754387
165,56.54699248120301
166,70.7825814536341
167,-10.0
168,43.338345864661655
169,57.30827067669171
170,-10.0
171,59.493107769423546
172,76.76942355889723
173,55.62155388471177
174,45.29072681704261
175,78.16165413533834
176,-10.0
177,-10.0
178,-10.0
179,59.99122807017543
180,-10.0
181,56.997493734335826
182,-10.0
183,78.88721804511277
184,-10.0
185,-10.0
186,49.93358395989975
187,47.21365914786967
188,-10.0
189,84.66791979949876
190,-10.0
191,-10.0
192,80.98872180451127
193,-10.0
194,-10.0
195,60.999373433583976
196,-10.0
197,47.06516290726817
198,44.96303258145363
199,73.56015037593984
200,78.51879699248119
201,54.86779448621555
202,80.23433583959901
203,54.01065162907269
204,72.56641604010024
205,48.67105263157895
206,75.11403508771932
207,64.02631578947368
208,61.80075187969924
209,-10.0
210,50.498120300751886
211,45.96365914786967
212,83.15538847117794
213,80.49498746867167
214,-10.0
215,72.84022556390978
216,42.61904761904761
217,-10.0
218,72.7268170426065
219,56.29761904761906
220,-10.0
221,-10.0
222,-10.0
223,48.938596491228076
224,53.60526315789474
225,42.219924812030065
226,53.308270676691734
227,-10.0
228,-10.0
229,54.01127819548873
230,68.77130325814535
231,69.92355889724313
232,-10.0
233,-10.0
234,-10.0
235,65.56954887218045
236,62.09899749373432
237,-10.0
238,-10.0
239,56.39786967418547
240,61.18358395989977
241,70.30444165970484
242,-10.0
243,47.96365914786967
244,-10.0
245,50.916666666666664
246,58.020676691729314
247,79.98872180451127
248,55.46052631578946
249,78.41165413533834
250,81.3878446115288
251,59.783834586466156
252,65.58458646616542
253,55.50563909774437
254,63.36779448621552
255,-10.0
256,65.68796992481202
257,55.49122807017543
258,54.90350877192983
259,-10.0
260,71.23934837092733
261,-10.0
262,62.32957393483709
263,64.28195488721805
264,-10.0
265,60.557644110275675
266,65.22744360902256
267,70.19235588972433
268,-10.0
269,77.72744360902254
270,45.3139097744361
271,50.87280701754387
272,57.687343358395985
273,48.04636591478697
274,57.021929824561404
275,-10.0
276,-10.0
277,70.4248120300752
278,48.33047897521582
279,61.298245614035096
280,-10.0
281,-10.0
282,71.27125684581823
283,73.28132832080202
284,74.63784461152883
285,56.938596491228076
286,50.829249048547304
287,-10.0
288,51.05889724310777
289,63.85486865311427
290,-10.0
291,-10.0
292,-10.0
293,56.120927318295735
294,-10.0
295,-10.0
296,57.19736842105263
297,-10.0
298,62.59210526315789
299,74.0075187969925
300,50.54010025062657
301,-10.0
302,-10.0
303,-10.0
304,68.56820291469414
305,64.31892230576442
306,52.61779448621555
307,-10.0
308,71.13909774436091
309,71.63909774436091
310,81.92293233082707
311,65.05075187969923
312,49.218671679197996
313,54.21303258145364
314,47.99874686716792
315,61.43170426065162
316,64.51002506265662
317,61.90726817042606
318,78.04197994987467
319,67.84649122807019
320,58.37155388471177
321,73.5075187969925
322,48.98057644110276
323,67.04448621553884
324,44.36904761904761
325,62.468671679197975
326,50.386591478696744
327,63.798245614035096
328,-10.0
329,62.99248120300751
330,-10.0
331,47.492481203007515
332,-10.0
333,59.37280701754384
334,-10.0
335,48.72837185556485
336,-10.0
337,-10.0
338,81.23872180451127
339,42.15413533834586
340,70.10213032581454
341,75.39912280701752
342,-10.0
343,57.6641604010025
344,57.9718045112782
345,-10.0
346,59.68859649122809
347,75.63283208020052
348,47.79010025062657
349,-10.0
350,50.31815650236703
351,-10.0
352,51.016290726817054
353,-10.0
354,-10.0
355,73.21679197994989
356,68.20300751879701
357,80.5062656641604
358,74.08266035459019
359,-10.0
360,56.14002599090319
361,63.94862155388471
362,63.48621553884711
363,-10.0
364,-10.0
365,55.945488721804516
366,63.5670426065163
367,60.35338345864661
368,47.397243107769434
369,61.71864847303443
370,-10.0
371,-10.0
372,48.5576441102757
373,69.77067669172932
