,target
0,-10.0
1,-10.0
2,56.85338345864661
3,57.10588972431079
4,-10.0
5,57.54511278195488
6,50.594611528822064
7,67.53759398496241
8,43.577067669172926
9,-10.0
10,-10.0
11,59.03030724960547
12,-10.0
13,-10.0
14,56.14473684210526
15,59.19987468671678
16,-10.0
17,-10.0
18,59.03947368421051
19,65.67731829573934
20,66.32110368513877
21,-10.0
22,61.22305764411027
23,66.56140350877193
24,-10.0
25,65.48496240601503
26,60.79887218045113
27,-10.0
28,66.8295739348371
29,66.42982456140352
30,-10.0
31,49.034461152882216
32,-10.0
33,-10.0
34,-10.0
35,-10.0
36,45.93984962406015
37,70.38847117794488
38,-10.0
39,61.93295739348371
40,-10.0
41,-10.0
42,47.82706766917294
43,74.52506265664158
44,66.12719298245615
45,76.56578947368419
46,71.59649122807019
47,67.85275689223057
48,61.74060150375939
49,61.62593984962407
50,-10.0
51,-10.0
52,52.820802005012546
53,-10.0
54,61.05513784461153
55,53.30075187969925
56,-10.0
57,63.575814536340836
58,-10.0
59,66.34674649586928
60,-10.0
61,-10.0
62,54.52694235588971
63,58.770050125313276
64,43.40350877192983
65,65.66979949874687
66,-10.0
67,48.534461152882216
68,-10.0
69,-10.0
70,44.08771929824562
71,-10.0
72,49.04072681704261
73,-10.0
74,56.62406015037593
75,-10.0
76,-10.0
77,57.50250626566415
78,-10.0
79,-10.0
80,59.49561403508772
81,-10.0
82,75.89411027568923
83,64.72744360902256
84,-10.0
85,63.492109904390595
86,55.31265664160401
87,68.9949874686717
88,58.12468671679199
89,52.968045112781965
90,61.048245614035096
91,71.91729323308269
92,60.982456140350884
93,68.87030075187971
94,-10.0
95,-10.0
96,-10.0
97,-10.0
98,-10.0
99,46.78947368421054
100,66.97957857606981
101,46.25
102,-10.0
103,79.1888981713543
104,-10.0
105,56.44360902255638
106,61.93233082706765
107,64.1328320802005
108,66.12155388471179
109,55.23621553884713
110,-10.0
111,45.96268448900028
112,-10.0
113,57.41353383458645
114,-10.0
115,69.84147869674187
116,-10.0
117,-10.0
118,63.008771929824555
119,68.30576441102757
120,56.080200501253124
121,59.36466165413534
122,53.49185463659148
123,-10.0
124,-10.0
125,59.097117794486216
126,51.326441102756895
127,74.50187969924814
128,-10.0
129,-10.0
130,82.3220551378446
131,63.38408521303257
132,-10.0
133,48.982688201986456
134,47.53947368421054
135,56.58583959899749
136,68.96679197994989
137,-10.0
138,-10.0
139,62.33270676691731
140,47.058270676691734
141,-10.0
142,-10.0
143,-10.0
144,-10.0
145,-10.0
146,-10.0
147,63.30075187969924
148,-10.0
149,76.75187969924814
150,49.36654135338346
151,-10.0
152,62.531328320802004
153,71.55639097744361
154,-10.0
155,59.646616541353374
156,-10.0
157,41.34461152882205
158,52.16478696741856
159,-10.0
160,71.34649122807019
161,74.88220551378448
162,45.56453634085213
163,-10.0
164,65.86967418546367
165,-10.0
166,59.26441102756892
167,-10.0
168,42.080061264271784
169,52.96741854636591
170,62.54323308270677
171,-10.0
172,79.00187969924814
173,-10.0
174,-10.0
175,67.85338345864662
176,63.45112781954885
177,-10.0
178,48.129699248120296
179,55.78383458646616
180,54.25375939849624
181,60.18170426065162
182,-10.0
183,70.43671679197995
184,46.07142857142856
185,-10.0
186,77.38721804511277
187,60.396616541353374
188,62.52506265664161
189,61.442355889724304
190,58.521303258145345
191,55.78884711779448
192,68.36466165413536
193,79.05388471177945
194,56.13032581453635
195,-10.0
196,61.1641604010025
197,-10.0
198,62.299498746867165
199,53.311403508771924
200,-10.0
201,55.23120300751881
202,68.89974937343358
203,39.72927689594357
204,-10.0
205,59.757518796992485
206,56.59335839598999
207,-10.0
208,51.41478696741856
209,59.05075187969924
210,48.28508771929825
211,69.81328320802005
212,60.64097744360901
213,52.26566416040101
214,65.61779448621552
215,-10.0
216,-10.0
217,45.32017543859649
218,44.75438596491228
219,65.20551378446116
220,-10.0
221,54.20426065162906
222,69.15726817042606
223,60.47869674185463
224,-10.0
225,56.55130882762463
226,70.28884711779449
227,-10.0
228,59.50060336025246
229,46.58145363408522
230,48.18421052631579
231,-10.0
232,-10.0
233,61.52631578947369
234,70.15664160401003
235,-10.0
236,-10.0
237,-10.0
238,56.811403508771924
239,-10.0
240,59.06328320802004
241,61.36152882205513
242,67.10839598997494
243,-10.0
244,50.11401188155574
245,46.416898728302236
246,42.157569850552306
247,80.15882298338438
248,-10.0
249,36.1374269005848
250,-10.0
251,51.49185463659148
252,58.59774436090225
253,-10.0
254,73.81766917293234
255,59.550125313283196
256,49.266917293233085
257,78.86340852130326
258,69.71616541353384
259,50.43544045298432
260,59.63157894736843
261,-10.0
262,-10.0
263,63.81641604010025
264,47.850250626566414
265,-10.0
266,-10.0
267,67.08669822704911
268,-10.0
269,54.02944862155389
270,51.208020050125306
271,61.80513784461153
272,-10.0
273,57.9028822055138
274,81.90538847117794
275,70.74060150375941
276,47.0
277,-10.0
278,55.877819548872175
279,-10.0
280,54.40852130325815
281,67.17982456140352
282,66.01817042606517
283,77.11340852130326
284,68.70864661654137
285,-10.0
286,56.40162907268169
287,66.64160401002509
288,71.88847117794488
289,66.87781954887218
290,-10.0
291,51.84398496240602
292,62.097117794486216
293,65.17757356353847
294,55.53822055137844
295,-10.0
296,62.834586466165426
297,-10.0
298,-10.0
299,63.22556390977445
300,-10.0
301,72.32268170426066
302,-10.0
303,52.68671679197994
304,71.19674185463657
305,73.96491228070177
306,54.65162907268169
307,-10.0
308,-10.0
309,-10.0
310,61.77506265664161
311,-10.0
312,68.82832080200502
313,61.79980042699339
314,-10.0
315,47.998120300751886
316,54.00375939849624
317,-10.0
318,53.12719298245613
319,48.03947368421054
320,-10.0
321,82.79260651629075
322,60.53070175438597
323,-10.0
324,-10.0
325,48.811983662860854
326,-10.0
327,-10.0
328,57.40852130325814
329,-10.0
330,61.77568922305765
331,52.82706766917294
332,-10.0
333,54.77819548872181
334,55.69794857514157
335,71.86528822055139
336,52.41040100250627
337,61.48809523809524
338,-10.0
339,82.73872180451127
340,70.23997493734338
341,52.107142857142854
342,-10.0
343,52.558270676691734
344,54.086466165413526
345,-10.0
346,-10.0
347,73.70864661654134
348,60.39097744360901
349,59.49248120300751
350,44.129699248120296
351,57.254385964912295
352,66.61090225563909
353,56.78822055137844
354,-10.0
355,77.60839598997491
356,55.956140350877185
357,47.60714285714286
358,63.87907268170426
359,-10.0
360,65.85401002506266
361,80.0012531328321
362,71.61591478696742
363,55.610554163185725
364,50.49185463659148
365,-10.0
366,54.308270676691734
367,52.754385964912295
368,66.81015037593987
369,36.976190476190474
370,-10.0
371,75.51817042606514
372,-10.0
373,-10.0
374,82.61340852130326
